Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,3,3,0,0,4,1,1,10,19,0.526315789
org.jfree.chart.renderer.xy.XYAreaRenderer2,26,3,2,1,80,32,2.67,121,325,0.372307692
org.jfree.chart.renderer.xy.XYBarPainter,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.renderer.xy.XYBarRenderer,40,3,7,2,143,125,2.84,405,977,0.414534289
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,4,3,1,0,4,3,1,19,31,0.612903226
org.jfree.chart.renderer.xy.XYBlockRenderer,21,3,1,0,58,50,2.63,193,428,0.450934579
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,25,3,2,0,95,65,2.83,265,660,0.401515152
org.jfree.chart.renderer.xy.XYBubbleRenderer,20,3,2,0,61,30,4.29,84,258,0.325581395
org.jfree.chart.renderer.xy.XYDifferenceRenderer,28,3,4,0,107,92,3.68,315,985,0.319796954
org.jfree.chart.renderer.xy.XYDotRenderer,19,3,2,0,55,30,2.31,132,280,0.471428571
org.jfree.chart.renderer.xy.XYErrorRenderer,16,4,3,0,48,35,2.06,169,358,0.472067039
org.jfree.chart.renderer.xy.XYItemRenderer,n/a,n/a,n/a,n/a,132,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.renderer.xy.XYItemRendererState,40,2,3,6,9,7,1,98,129,0.759689922
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,39,3,3,6,122,107,2.38,486,952,0.510504202
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,9,3,1,2,8,4,1,38,60,0.633333333
org.jfree.chart.renderer.xy.XYShapeRenderer,24,3,5,0,80,52,2.08,256,494,0.518218623
org.jfree.chart.renderer.xy.XYSplineRenderer,16,4,2,0,51,46,3.54,155,373,0.415549598
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,2,n/a,2,n/a,2,0,n/a,7,13,0.538461538
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,3,4,0,0,4,1,1,11,20,0.55
org.jfree.chart.renderer.xy.XYStepAreaRenderer,19,3,2,0,58,62,3.1,236,509,0.463654224
org.jfree.chart.renderer.xy.XYStepRenderer,21,4,1,0,40,28,3.11,112,255,0.439215686
org.jfree.chart.renderer.xy.YIntervalRenderer,21,3,2,0,52,18,2.25,100,215,0.465116279
org.jfree.chart.swing.AbstractOverlay,5,1,1,1,12,7,1.4,34,61,0.557377049
org.jfree.chart.swing.ApplicationFrame,0,6,7,0,13,9,1.12,52,83,0.626506024
org.jfree.chart.swing.ChartFrame,2,6,1,0,8,4,1.33,23,43,0.534883721
org.jfree.chart.swing.ChartMouseEvent,5,2,3,0,5,4,1,33,55,0.6
org.jfree.chart.swing.ChartMouseListener,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.swing.ChartPanel,31,5,7,1,336,272,2.37,1141,2628,0.434170472
org.jfree.chart.swing.CrosshairOverlay,17,2,2,0,90,83,4.15,138,505,0.273267327
org.jfree.chart.swing.DefaultSelectionZoomStrategy,3,1,2,0,40,27,1.5,47,192,0.244791667
org.jfree.chart.swing.MouseWheelHandler,7,1,1,0,22,12,2.4,39,92,0.423913043
org.jfree.chart.swing.NumberCellRenderer,1,6,1,0,10,4,2,21,45,0.466666667
org.jfree.chart.swing.Overlay,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.swing.OverlayChangeEvent,3,2,0,0,2,1,1,9,13,0.692307692
org.jfree.chart.swing.OverlayChangeListener,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.swing.PolarChartPanel,5,6,2,0,32,18,2.57,63,171,0.368421053
