Class,Jm,CBO,LCOM,NOC,RFC,WMC,CLOC/LOC,JTA
org.jfree.chart.plot.PolarPlot,100.00%,44,13,0,218,221,0.467963387,0
org.jfree.chart.plot.RingPlot,100.00%,25,2,0,111,62,0.469244288,0
org.jfree.chart.plot.SeriesRenderingOrder,0.00%,1,2,n/a,2,0,0.75,0
org.jfree.chart.plot.SpiderWebPlot,100.00%,29,2,0,177,127,0.466282895,0
org.jfree.chart.plot.ThermometerPlot,100.00%,27,10,0,161,153,0.471104609,0
org.jfree.chart.plot.ValueMarker,100.00%,9,1,0,11,10,0.59375,0
org.jfree.chart.plot.WaferMapPlot,100.00%,15,4,0,52,33,0.362537764,0
org.jfree.chart.plot.XYCrosshairState,100.00%,1,0,0,1,1,0.636363636,0
org.jfree.chart.plot.XYPlot,98.31%,130,6,2,462,645,0.451665645,0
org.jfree.chart.plot.compass.ArrowNeedle,100.00%,5,1,1,26,12,0.378378378,0
org.jfree.chart.plot.compass.CompassPlot,100.00%,25,6,0,99,87,0.424328147,0
org.jfree.chart.plot.compass.LineNeedle,100.00%,4,1,0,19,7,0.492537313,0
org.jfree.chart.plot.compass.LongNeedle,100.00%,3,1,0,33,12,0.322033898,0
org.jfree.chart.plot.compass.MeterNeedle,100.00%,14,5,8,53,40,0.5,0
org.jfree.chart.plot.compass.MiddlePinNeedle,100.00%,3,1,0,24,9,0.397727273,0
org.jfree.chart.plot.compass.PinNeedle,100.00%,3,1,0,24,9,0.406976744,0
org.jfree.chart.plot.compass.PlumNeedle,100.00%,3,1,0,24,8,0.428571429,0
org.jfree.chart.plot.compass.PointerNeedle,100.00%,3,1,0,30,11,0.346938776,0
org.jfree.chart.plot.compass.ShipNeedle,100.00%,3,1,0,23,8,0.447368421,0
org.jfree.chart.plot.compass.WindNeedle,100.00%,4,1,0,15,8,0.426470588,0
org.jfree.chart.plot.dial.AbstractDialLayer,100.00%,27,1,9,22,15,0.56,0
org.jfree.chart.plot.dial.ArcDialFrame,100.00%,11,3,0,59,36,0.496350365,0
org.jfree.chart.plot.dial.DialBackground,100.00%,13,2,0,30,18,0.563157895,0
org.jfree.chart.plot.dial.DialCap,100.00%,12,2,0,43,23,0.549407115,0
org.jfree.chart.plot.dial.DialLayerChangeEvent,100.00%,17,1,0,3,2,0.6,0
org.jfree.chart.plot.dial.DialPlot,100.00%,27,6,0,91,80,0.494964029,0
org.jfree.chart.plot.dial.DialPointer,100.00%,9,3,2,15,14,0.558139535,0
org.jfree.chart.plot.dial.DialPointer.Pin,100.00%,10,1,0,42,15,0.49375,0
org.jfree.chart.plot.dial.DialPointer.Pointer,100.00%,10,1,0,48,18,0.444954128,0
org.jfree.chart.plot.dial.DialTextAnnotation,100.00%,12,2,0,48,29,0.543973941,0
org.jfree.chart.plot.dial.DialValueIndicator,100.00%,15,2,0,90,60,0.523961661,0
org.jfree.chart.plot.dial.StandardDialFrame,100.00%,11,2,0,47,24,0.514925373,0
org.jfree.chart.plot.dial.StandardDialRange,100.00%,11,2,0,44,34,0.514705882,0
org.jfree.chart.plot.dial.StandardDialScale,100.00%,12,2,0,82,81,0.541860465,0
org.jfree.chart.plot.flow.FlowPlot,100.00%,22,2,0,120,88,0.387426901,0
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,100.00%,4,2,1,12,5,0.649122807,0
org.jfree.chart.plot.pie.MultiplePiePlot,100.00%,33,2,0,106,61,0.370741483,0
org.jfree.chart.plot.pie.PieLabelDistributor,100.00%,3,1,0,24,26,0.360248447,0
org.jfree.chart.plot.pie.PieLabelLinkStyle,0.00%,4,2,n/a,2,0,0.583333333,0
org.jfree.chart.plot.pie.PieLabelRecord,100.00%,5,7,0,19,29,0.48372093,0
org.jfree.chart.plot.pie.PiePlot,100.00%,50,2,1,320,293,0.468541301,0
org.jfree.chart.plot.pie.PiePlotState,100.00%,4,10,0,22,21,0.615,0
org.jfree.chart.renderer.AbstractRenderer,100.00%,94,5,4,219,310,0.557449963,0
org.jfree.chart.renderer.AreaRendererEndType,0.00%,3,2,n/a,2,0,0.705882353,0
org.jfree.chart.renderer.DefaultPolarItemRenderer,100.00%,29,1,0,132,88,0.415465269,0
org.jfree.chart.renderer.GrayPaintScale,100.00%,6,1,0,16,17,0.530864198,0
org.jfree.chart.renderer.LookupPaintScale,100.00%,12,1,0,28,28,0.429951691,0
