Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,0,8,25,2,42,5,2
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,0,6,13,2,43,4,2
org.jfree.chart.labels.BubbleXYItemLabelGenerator,0,8,12,1,1,5,1
org.jfree.chart.labels.CustomXYToolTipGenerator,0,3,8,1,1,3,1
org.jfree.chart.labels.HighLowItemLabelGenerator,0,7,11,3,44,5,3
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,0,8,25,2,2,4,2
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,0,6,25,2,42,3,2
org.jfree.chart.labels.IntervalXYItemLabelGenerator,0,6,12,1,1,4,1
org.jfree.chart.labels.IntervalXYToolTipGenerator,0,6,12,0,0,4,0
org.jfree.chart.labels.ItemLabelAnchor,0,0,0,10,424,0,5
org.jfree.chart.labels.ItemLabelPosition,0,3,3,15,423,3,5
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,0,6,10,1,1,5,1
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,0,4,23,8,51,3,3
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,0,6,10,3,95,5,2
org.jfree.chart.labels.StandardCategoryToolTipGenerator,0,3,23,18,51,2,4
org.jfree.chart.labels.StandardCrosshairLabelGenerator,2,3,10,2,5,3,1
org.jfree.chart.labels.StandardFlowLabelGenerator,0,4,9,3,3,3,2
org.jfree.chart.labels.StandardPieSectionLabelGenerator,0,5,62,4,49,4,3
org.jfree.chart.labels.StandardPieToolTipGenerator,0,4,62,3,42,3,3
org.jfree.chart.labels.StandardXYItemLabelGenerator,0,4,11,3,3,3,2
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,0,6,10,4,134,5,2
org.jfree.chart.labels.StandardXYToolTipGenerator,0,4,11,15,49,3,4
org.jfree.chart.labels.StandardXYZToolTipGenerator,0,7,14,2,42,4,2
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,0,10,45,1,1,5,1
org.jfree.chart.legend.LegendGraphic,0,14,23,2,537,4,1
org.jfree.chart.legend.LegendItem,0,10,16,52,539,5,7
org.jfree.chart.legend.LegendItemBlockContainer,0,9,35,1,537,3,1
org.jfree.chart.legend.LegendItemCollection,0,2,17,28,538,2,8
org.jfree.chart.legend.LegendRenderingOrder,0,0,0,0,0,0,0
org.jfree.chart.legend.LegendTitle,26,34,109,4,536,8,2
org.jfree.chart.legend.PaintScaleLegend,0,23,115,2,44,9,2
org.jfree.chart.plot.CategoryCrosshairState,0,2,2,3,115,1,2
org.jfree.chart.plot.CategoryMarker,0,4,110,6,114,4,2
org.jfree.chart.plot.CategoryPlot,3,57,193,59,112,13,7
org.jfree.chart.plot.CenterTextMode,0,0,0,2,43,0,1
org.jfree.chart.plot.CombinedDomainCategoryPlot,0,19,194,2,44,9,2
org.jfree.chart.plot.CombinedDomainXYPlot,0,23,202,2,44,12,2
org.jfree.chart.plot.CombinedRangeCategoryPlot,0,20,201,2,44,9,2
org.jfree.chart.plot.CombinedRangeXYPlot,0,21,202,2,44,10,2
org.jfree.chart.plot.Crosshair,2,8,10,5,5,3,3
org.jfree.chart.plot.CrosshairState,0,1,1,34,202,1,2
org.jfree.chart.plot.DatasetRenderingOrder,0,0,0,3,196,0,1
org.jfree.chart.plot.DefaultDrawingSupplier,0,6,9,6,537,4,3
org.jfree.chart.plot.DialShape,0,0,0,2,46,0,1
org.jfree.chart.plot.FastScatterPlot,0,23,126,2,44,6,2
org.jfree.chart.plot.IntervalMarker,0,4,110,6,202,4,4
org.jfree.chart.plot.Marker,26,10,109,18,536,4,6
org.jfree.chart.plot.MeterInterval,0,4,5,4,47,2,2
org.jfree.chart.plot.MeterPlot,0,18,114,3,45,7,2
org.jfree.chart.plot.Plot,26,39,109,66,536,10,16
org.jfree.chart.plot.PlotOrientation,0,0,0,102,544,0,10
org.jfree.chart.plot.PlotRenderingInfo,1,4,11,100,561,2,12
org.jfree.chart.plot.PlotState,26,2,109,18,536,1,5
org.jfree.chart.plot.PolarAxisLocation,0,0,0,1,53,0,1
org.jfree.chart.plot.PolarPlot,1,36,174,9,52,12,5
org.jfree.chart.plot.RingPlot,0,22,178,3,42,11,2
org.jfree.chart.plot.SeriesRenderingOrder,0,0,0,1,133,0,1
org.jfree.chart.plot.SpiderWebPlot,0,27,169,2,44,11,2
org.jfree.chart.plot.ThermometerPlot,0,25,127,2,44,8,2
org.jfree.chart.plot.ValueMarker,0,2,110,7,179,2,4
org.jfree.chart.plot.WaferMapPlot,1,14,131,2,42,7,2
org.jfree.chart.plot.XYCrosshairState,0,1,2,0,0,1,0
org.jfree.chart.plot.XYPlot,3,53,195,80,132,14,8
org.jfree.chart.plot.compass.ArrowNeedle,0,2,6,3,5,2,1
org.jfree.chart.plot.compass.CompassPlot,0,24,124,1,1,8,1
org.jfree.chart.plot.compass.LineNeedle,0,1,6,3,4,1,1
org.jfree.chart.plot.compass.LongNeedle,0,1,6,2,3,1,1
org.jfree.chart.plot.compass.MeterNeedle,0,3,5,11,21,1,1
org.jfree.chart.plot.compass.MiddlePinNeedle,0,1,6,2,3,1,1
org.jfree.chart.plot.compass.PinNeedle,0,1,6,2,3,1,1
org.jfree.chart.plot.compass.PlumNeedle,0,1,6,2,3,1,1
org.jfree.chart.plot.compass.PointerNeedle,0,1,6,2,3,1,1
org.jfree.chart.plot.compass.ShipNeedle,0,1,6,2,3,1,1
org.jfree.chart.plot.compass.WindNeedle,0,2,7,2,3,1,1
org.jfree.chart.plot.dial.AbstractDialLayer,8,5,120,22,29,2,1
org.jfree.chart.plot.dial.ArcDialFrame,8,9,120,3,29,3,1
org.jfree.chart.plot.dial.DialBackground,0,11,121,2,2,4,1
org.jfree.chart.plot.dial.DialCap,0,9,121,3,3,3,1
org.jfree.chart.plot.dial.DialLayerChangeEvent,8,2,120,15,29,2,1
org.jfree.chart.plot.dial.DialPlot,8,17,120,12,29,6,1
org.jfree.chart.plot.dial.DialPointer,8,5,120,4,29,3,1
org.jfree.chart.plot.dial.DialPointer.Pin,0,9,121,1,1,2,1
org.jfree.chart.plot.dial.DialPointer.Pointer,0,9,121,1,1,2,1
org.jfree.chart.plot.dial.DialTextAnnotation,0,11,121,1,1,4,1
org.jfree.chart.plot.dial.DialValueIndicator,0,14,121,1,1,5,1
org.jfree.chart.plot.dial.StandardDialFrame,0,9,121,2,2,3,1
org.jfree.chart.plot.dial.StandardDialRange,0,10,121,1,1,3,1
org.jfree.chart.plot.dial.StandardDialScale,0,10,121,2,2,4,1
org.jfree.chart.plot.flow.FlowPlot,0,21,118,1,1,9,1
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,0,2,19,2,49,2,1
org.jfree.chart.plot.pie.MultiplePiePlot,0,30,178,3,43,11,2
org.jfree.chart.plot.pie.PieLabelDistributor,0,2,20,1,48,1,1
org.jfree.chart.plot.pie.PieLabelLinkStyle,0,0,0,4,48,0,2
org.jfree.chart.plot.pie.PieLabelRecord,0,1,18,4,51,1,1
org.jfree.chart.plot.pie.PiePlot,0,41,175,9,47,14,4
org.jfree.chart.plot.pie.PiePlotState,0,2,13,2,48,2,2
org.jfree.chart.renderer.AbstractRenderer,0,18,115,76,410,7,5
org.jfree.chart.renderer.AreaRendererEndType,0,0,0,3,46,0,2
org.jfree.chart.renderer.DefaultPolarItemRenderer,0,26,181,3,43,13,3
org.jfree.chart.renderer.GrayPaintScale,0,3,3,3,3,3,3
org.jfree.chart.renderer.LookupPaintScale,0,6,7,6,6,3,3
org.jfree.chart.renderer.LookupPaintScale.PaintItem,0,2,4,1,7,1,1
org.jfree.chart.renderer.NotOutlierException,0,0,0,0,0,0,0
org.jfree.chart.renderer.Outlier,0,0,0,5,47,0,3
org.jfree.chart.renderer.OutlierList,0,1,1,3,45,1,3
org.jfree.chart.renderer.OutlierListCollection,0,2,2,2,44,1,2
org.jfree.chart.renderer.RendererState,0,3,12,29,213,3,4
org.jfree.chart.renderer.RendererUtils,0,3,7,2,134,3,2
org.jfree.chart.renderer.WaferMapRenderer,1,7,131,2,42,4,2
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,0,42,202,37,93,15,3
org.jfree.chart.renderer.category.AreaRenderer,0,18,204,4,44,11,3
org.jfree.chart.renderer.category.BarRenderer,2,30,205,22,67,13,5
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,0,25,206,2,42,12,2
org.jfree.chart.renderer.category.CategoryItemRendererState,0,4,17,21,114,2,2
org.jfree.chart.renderer.category.CategoryStepRenderer,0,17,204,1,1,10,1
org.jfree.chart.renderer.category.CategoryStepRenderer.State,0,2,18,1,2,2,1
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,0,1,204,2,2,1,2
org.jfree.chart.renderer.category.GanttRenderer,0,21,208,2,42,11,2
org.jfree.chart.renderer.category.GradientBarPainter,2,5,205,5,67,4,2
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,0,22,208,1,1,11,1
org.jfree.chart.renderer.category.IntervalBarRenderer,0,17,206,2,44,9,1
org.jfree.chart.renderer.category.LayeredBarRenderer,0,16,206,1,1,10,1
org.jfree.chart.renderer.category.LevelRenderer,0,17,203,1,1,10,1
org.jfree.chart.renderer.category.LineAndShapeRenderer,0,16,203,11,55,11,5
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,0,14,203,2,44,8,2
org.jfree.chart.renderer.category.ScatterRenderer,0,16,203,1,1,11,1
org.jfree.chart.renderer.category.StackedAreaRenderer,0,16,206,2,42,9,2
