Javadoc coverage metrics,Wed., 19 Oct. 2022 18:53:36 EDT,
Class,Jf,JLOC,Jm
org.jfree.chart.plot.dial.DialPointer.Pin,100.00%,79,100.00%
org.jfree.chart.plot.dial.DialPointer.Pointer,100.00%,97,100.00%
org.jfree.chart.plot.dial.DialTextAnnotation,100.00%,166,100.00%
org.jfree.chart.plot.dial.DialValueIndicator,100.00%,318,100.00%
org.jfree.chart.plot.dial.StandardDialFrame,100.00%,138,100.00%
org.jfree.chart.plot.dial.StandardDialRange,100.00%,175,100.00%
org.jfree.chart.plot.dial.StandardDialScale,100.00%,447,100.00%
org.jfree.chart.plot.flow.FlowPlot,71.43%,249,100.00%
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,100.00%,37,100.00%
org.jfree.chart.plot.pie.MultiplePiePlot,100.00%,169,100.00%
org.jfree.chart.plot.pie.PieLabelDistributor,100.00%,56,100.00%
org.jfree.chart.plot.pie.PieLabelLinkStyle,100.00%,7,0.00%
org.jfree.chart.plot.pie.PieLabelRecord,100.00%,104,100.00%
org.jfree.chart.plot.pie.PiePlot,100.00%,"1,286",100.00%
org.jfree.chart.plot.pie.PiePlotState,100.00%,123,100.00%
org.jfree.chart.renderer.AbstractRenderer,100.00%,"1,440",100.00%
org.jfree.chart.renderer.AreaRendererEndType,100.00%,12,0.00%
org.jfree.chart.renderer.DefaultPolarItemRenderer,100.00%,304,100.00%
org.jfree.chart.renderer.GrayPaintScale,100.00%,84,100.00%
org.jfree.chart.renderer.LookupPaintScale,100.00%,86,100.00%
org.jfree.chart.renderer.LookupPaintScale.PaintItem,100.00%,41,100.00%
org.jfree.chart.renderer.NotOutlierException,100.00%,9,100.00%
org.jfree.chart.renderer.Outlier,100.00%,82,100.00%
org.jfree.chart.renderer.OutlierList,100.00%,71,100.00%
org.jfree.chart.renderer.OutlierListCollection,100.00%,72,100.00%
org.jfree.chart.renderer.RendererState,100.00%,37,100.00%
org.jfree.chart.renderer.RendererUtils,100.00%,40,100.00%
org.jfree.chart.renderer.WaferMapRenderer,100.00%,101,100.00%
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,100.00%,571,100.00%
org.jfree.chart.renderer.category.AreaRenderer,100.00%,65,100.00%
org.jfree.chart.renderer.category.BarRenderer,100.00%,457,100.00%
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,100.00%,339,100.00%
org.jfree.chart.renderer.category.CategoryItemRendererState,100.00%,87,100.00%
org.jfree.chart.renderer.category.CategoryStepRenderer,100.00%,92,100.00%
org.jfree.chart.renderer.category.CategoryStepRenderer.State,100.00%,13,100.00%
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,100.00%,5,100.00%
org.jfree.chart.renderer.category.GanttRenderer,100.00%,159,100.00%
org.jfree.chart.renderer.category.GradientBarPainter,100.00%,85,100.00%
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,100.00%,75,100.00%
org.jfree.chart.renderer.category.IntervalBarRenderer,100.00%,58,100.00%
org.jfree.chart.renderer.category.LayeredBarRenderer,100.00%,84,88.89%
org.jfree.chart.renderer.category.LevelRenderer,100.00%,136,100.00%
org.jfree.chart.renderer.category.LineAndShapeRenderer,100.00%,344,100.00%
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,100.00%,182,100.00%
org.jfree.chart.renderer.category.ScatterRenderer,100.00%,226,100.00%
org.jfree.chart.renderer.category.StackedAreaRenderer,100.00%,103,100.00%
org.jfree.chart.renderer.category.StackedBarRenderer,100.00%,87,100.00%
org.jfree.chart.renderer.category.StandardBarPainter,100.00%,56,100.00%
org.jfree.chart.renderer.category.StatisticalBarRenderer,100.00%,127,100.00%
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,100.00%,110,100.00%
org.jfree.chart.renderer.category.WaterfallBarRenderer,100.00%,125,100.00%
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,100.00%,486,98.15%
org.jfree.chart.renderer.xy.CandlestickRenderer,100.00%,338,100.00%
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,100.00%,89,100.00%
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,100.00%,53,100.00%
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,66.67%,87,100.00%
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,100.00%,5,100.00%
org.jfree.chart.renderer.xy.DeviationRenderer,100.00%,114,100.00%
org.jfree.chart.renderer.xy.DeviationRenderer.State,100.00%,16,100.00%
org.jfree.chart.renderer.xy.DeviationStepRenderer,100.00%,61,100.00%
org.jfree.chart.renderer.xy.GradientXYBarPainter,100.00%,85,100.00%
org.jfree.chart.renderer.xy.HighLowRenderer,100.00%,166,100.00%
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,100.00%,80,100.00%
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,100.00%,39,100.00%
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,100.00%,165,100.00%
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,100.00%,47,100.00%
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,100.00%,121,100.00%
org.jfree.chart.renderer.xy.StackedXYBarRenderer,100.00%,104,100.00%
org.jfree.chart.renderer.xy.StandardXYBarPainter,100.00%,56,100.00%
org.jfree.chart.renderer.xy.StandardXYItemRenderer,100.00%,333,100.00%
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,100.00%,38,100.00%
org.jfree.chart.renderer.xy.VectorRenderer,100.00%,70,100.00%
org.jfree.chart.renderer.xy.WindItemRenderer,100.00%,37,100.00%
org.jfree.chart.renderer.xy.XYAreaRenderer,100.00%,192,100.00%
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,100.00%,10,100.00%
org.jfree.chart.renderer.xy.XYAreaRenderer2,100.00%,112,100.00%
org.jfree.chart.renderer.xy.XYBarRenderer,100.00%,397,100.00%
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,100.00%,19,100.00%
org.jfree.chart.renderer.xy.XYBlockRenderer,100.00%,191,100.00%
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,100.00%,231,100.00%
org.jfree.chart.renderer.xy.XYBubbleRenderer,100.00%,81,100.00%
org.jfree.chart.renderer.xy.XYDifferenceRenderer,100.00%,256,100.00%
org.jfree.chart.renderer.xy.XYDotRenderer,100.00%,128,100.00%
org.jfree.chart.renderer.xy.XYErrorRenderer,100.00%,163,100.00%
org.jfree.chart.renderer.xy.XYItemRendererState,100.00%,97,100.00%
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,100.00%,466,97.78%
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,100.00%,38,100.00%
org.jfree.chart.renderer.xy.XYShapeRenderer,100.00%,249,100.00%
org.jfree.chart.renderer.xy.XYSplineRenderer,66.67%,129,92.31%
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,100.00%,7,0.00%
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,100.00%,11,100.00%
org.jfree.chart.renderer.xy.XYStepAreaRenderer,100.00%,209,100.00%
org.jfree.chart.renderer.xy.XYStepRenderer,100.00%,98,100.00%
org.jfree.chart.renderer.xy.YIntervalRenderer,100.00%,93,100.00%
org.jfree.chart.swing.AbstractOverlay,100.00%,34,100.00%
org.jfree.chart.swing.ApplicationFrame,100.00%,46,100.00%
org.jfree.chart.swing.ChartFrame,100.00%,23,100.00%
org.jfree.chart.swing.ChartMouseEvent,100.00%,33,100.00%
org.jfree.chart.swing.ChartPanel,96.15%,"1,027",100.00%
org.jfree.chart.swing.CrosshairOverlay,100.00%,133,90.00%
org.jfree.chart.swing.DefaultSelectionZoomStrategy,87.50%,41,11.11%
org.jfree.chart.swing.MouseWheelHandler,100.00%,36,100.00%
org.jfree.chart.swing.NumberCellRenderer,100.00%,21,100.00%
org.jfree.chart.swing.OverlayChangeEvent,100.00%,8,100.00%
org.jfree.chart.swing.PolarChartPanel,100.00%,63,100.00%
org.jfree.chart.swing.UIUtils,100.00%,68,90.00%
org.jfree.chart.swing.editor.ChartEditorManager,100.00%,27,100.00%
org.jfree.chart.swing.editor.DefaultAxisEditor,100.00%,115,100.00%
org.jfree.chart.swing.editor.DefaultChartEditor,100.00%,54,100.00%
org.jfree.chart.swing.editor.DefaultChartEditorFactory,100.00%,13,100.00%
org.jfree.chart.swing.editor.DefaultLogAxisEditor,0.00%,30,85.71%
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,0.00%,18,42.86%
org.jfree.chart.swing.editor.DefaultPlotEditor,88.24%,125,100.00%
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,100.00%,40,77.78%
org.jfree.chart.swing.editor.DefaultTitleEditor,100.00%,62,100.00%
org.jfree.chart.swing.editor.DefaultValueAxisEditor,100.00%,103,100.00%
org.jfree.chart.swing.editor.FontChooserPanel,100.00%,42,100.00%
org.jfree.chart.swing.editor.FontDisplayField,100.00%,30,100.00%
org.jfree.chart.swing.editor.LCBLayout,100.00%,56,100.00%
org.jfree.chart.swing.editor.PaintSample,100.00%,30,100.00%
org.jfree.chart.swing.editor.StrokeChooserPanel,100.00%,22,100.00%
org.jfree.chart.swing.editor.StrokeSample,100.00%,42,100.00%
org.jfree.chart.text.AttributedStringUtils,100.00%,16,100.00%
org.jfree.chart.text.G2TextMeasurer,100.00%,18,100.00%
org.jfree.chart.text.TextAnchor,100.00%,67,80.00%
org.jfree.chart.text.TextBlock,100.00%,108,100.00%
org.jfree.chart.text.TextBlockAnchor,100.00%,12,0.00%
org.jfree.chart.text.TextBox,100.00%,147,100.00%
org.jfree.chart.text.TextFragment,100.00%,115,100.00%
org.jfree.chart.text.TextLine,100.00%,87,100.00%
org.jfree.chart.text.TextUtils,100.00%,269,100.00%
org.jfree.chart.text.format.HMSNumberFormat,0.00%,37,100.00%
org.jfree.chart.text.format.HexNumberFormat,100.00%,55,100.00%
org.jfree.chart.text.format.LogFormat,100.00%,89,100.00%
org.jfree.chart.text.format.RelativeDateFormat,100.00%,235,100.00%
org.jfree.chart.title.CompositeTitle,100.00%,90,100.00%
org.jfree.chart.title.DateTitle,100.00%,82,100.00%
org.jfree.chart.title.ImageTitle,100.00%,117,100.00%
org.jfree.chart.title.ShortTextTitle,100.00%,69,100.00%
org.jfree.chart.title.TextTitle,100.00%,290,100.00%
org.jfree.chart.title.Title,100.00%,179,100.00%
org.jfree.chart.urls.CustomCategoryURLGenerator,100.00%,56,100.00%
org.jfree.chart.urls.CustomPieURLGenerator,100.00%,74,100.00%
org.jfree.chart.urls.CustomXYURLGenerator,100.00%,58,100.00%
org.jfree.chart.urls.StandardCategoryURLGenerator,100.00%,54,100.00%
org.jfree.chart.urls.StandardPieURLGenerator,100.00%,46,100.00%
org.jfree.chart.urls.StandardXYURLGenerator,100.00%,46,100.00%
org.jfree.chart.urls.StandardXYZURLGenerator,100.00%,12,100.00%
org.jfree.chart.urls.TimeSeriesURLGenerator,100.00%,58,100.00%
org.jfree.chart.util.AttrStringUtils,100.00%,80,37.50%
org.jfree.chart.util.DefaultShadowGenerator,83.33%,85,100.00%
org.jfree.chart.util.DirectionalGradientPaintTransformer,100.00%,34,100.00%
org.jfree.chart.util.ExportUtils,100.00%,61,100.00%
org.jfree.chart.util.GradientPaintTransformType,100.00%,7,0.00%
org.jfree.chart.util.PaintAlpha,50.00%,153,100.00%
org.jfree.chart.util.StandardGradientPaintTransformer,100.00%,50,100.00%
org.jfree.chart.util.StringUtils,100.00%,28,100.00%
org.jfree.data.ComparableObjectItem,100.00%,62,100.00%
