Lines of code metrics,Wed., 19 Oct. 2022 19:46:22 EDT,
Class,CLOC,JLOC,LOC
org.jfree.chart.renderer.category.StatisticalBarRenderer,148,127,451
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,122,110,363
org.jfree.chart.renderer.category.WaterfallBarRenderer,134,125,368
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,513,486,"1,426"
org.jfree.chart.renderer.xy.CandlestickRenderer,352,338,749
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,94,89,272
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,64,53,235
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,89,87,153
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,6,5,10
org.jfree.chart.renderer.xy.DeviationRenderer,123,114,264
org.jfree.chart.renderer.xy.DeviationRenderer.State,16,16,25
org.jfree.chart.renderer.xy.DeviationStepRenderer,74,61,234
org.jfree.chart.renderer.xy.GradientXYBarPainter,90,85,293
org.jfree.chart.renderer.xy.HighLowRenderer,170,166,386
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,89,80,214
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,39,39,62
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,190,165,457
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,47,47,81
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,134,121,436
org.jfree.chart.renderer.xy.StackedXYBarRenderer,116,104,320
org.jfree.chart.renderer.xy.StandardXYBarPainter,61,56,156
org.jfree.chart.renderer.xy.StandardXYItemRenderer,356,333,767
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,38,38,58
org.jfree.chart.renderer.xy.VectorRenderer,73,70,262
org.jfree.chart.renderer.xy.WindItemRenderer,38,37,105
org.jfree.chart.renderer.xy.XYAreaRenderer,217,192,558
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,10,10,19
org.jfree.chart.renderer.xy.XYAreaRenderer2,121,112,325
org.jfree.chart.renderer.xy.XYBarRenderer,405,397,977
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,19,19,31
org.jfree.chart.renderer.xy.XYBlockRenderer,193,191,428
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,265,231,660
org.jfree.chart.renderer.xy.XYBubbleRenderer,84,81,258
org.jfree.chart.renderer.xy.XYDifferenceRenderer,315,256,985
org.jfree.chart.renderer.xy.XYDotRenderer,132,128,280
org.jfree.chart.renderer.xy.XYErrorRenderer,169,163,358
org.jfree.chart.renderer.xy.XYItemRendererState,98,97,129
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,486,466,952
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,38,38,60
org.jfree.chart.renderer.xy.XYShapeRenderer,256,249,494
org.jfree.chart.renderer.xy.XYSplineRenderer,155,129,373
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,7,7,13
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,11,11,20
org.jfree.chart.renderer.xy.XYStepAreaRenderer,236,209,509
org.jfree.chart.renderer.xy.XYStepRenderer,112,98,255
org.jfree.chart.renderer.xy.YIntervalRenderer,100,93,215
org.jfree.chart.swing.AbstractOverlay,34,34,61
org.jfree.chart.swing.ApplicationFrame,52,46,83
org.jfree.chart.swing.ChartFrame,23,23,43
org.jfree.chart.swing.ChartMouseEvent,33,33,55
org.jfree.chart.swing.ChartPanel,"1,141","1,027","2,628"
org.jfree.chart.swing.CrosshairOverlay,138,133,505
org.jfree.chart.swing.DefaultSelectionZoomStrategy,47,41,192
org.jfree.chart.swing.MouseWheelHandler,39,36,92
org.jfree.chart.swing.NumberCellRenderer,21,21,45
org.jfree.chart.swing.OverlayChangeEvent,9,8,13
org.jfree.chart.swing.PolarChartPanel,63,63,171
org.jfree.chart.swing.UIUtils,69,68,138
org.jfree.chart.swing.editor.ChartEditorManager,28,27,43
org.jfree.chart.swing.editor.DefaultAxisEditor,186,115,386
org.jfree.chart.swing.editor.DefaultChartEditor,54,54,178
org.jfree.chart.swing.editor.DefaultChartEditorFactory,13,13,21
org.jfree.chart.swing.editor.DefaultLogAxisEditor,31,30,104
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,19,18,104
org.jfree.chart.swing.editor.DefaultPlotEditor,159,125,495
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,42,40,140
org.jfree.chart.swing.editor.DefaultTitleEditor,62,62,198
org.jfree.chart.swing.editor.DefaultValueAxisEditor,105,103,314
org.jfree.chart.swing.editor.FontChooserPanel,42,42,143
org.jfree.chart.swing.editor.FontDisplayField,30,30,55
org.jfree.chart.swing.editor.LCBLayout,62,56,202
org.jfree.chart.swing.editor.PaintSample,30,30,64
org.jfree.chart.swing.editor.StrokeChooserPanel,26,22,49
org.jfree.chart.swing.editor.StrokeSample,47,42,105
org.jfree.chart.text.AttributedStringUtils,18,16,56
org.jfree.chart.text.G2TextMeasurer,18,18,32
org.jfree.chart.text.TextAnchor,67,67,117
org.jfree.chart.text.TextBlock,108,108,231
org.jfree.chart.text.TextBlockAnchor,12,12,23
org.jfree.chart.text.TextBox,147,147,334
org.jfree.chart.text.TextFragment,115,115,226
org.jfree.chart.text.TextLine,87,87,186
org.jfree.chart.text.TextUtils,280,269,658
org.jfree.chart.text.format.HMSNumberFormat,39,37,65
org.jfree.chart.text.format.HexNumberFormat,56,55,97
org.jfree.chart.text.format.LogFormat,90,89,181
org.jfree.chart.text.format.RelativeDateFormat,237,235,457
org.jfree.chart.title.CompositeTitle,91,90,171
org.jfree.chart.title.DateTitle,82,82,107
org.jfree.chart.title.ImageTitle,119,117,283
org.jfree.chart.title.ShortTextTitle,69,69,178
org.jfree.chart.title.TextTitle,296,290,730
org.jfree.chart.title.Title,180,179,340
org.jfree.chart.urls.CustomCategoryURLGenerator,56,56,138
org.jfree.chart.urls.CustomPieURLGenerator,74,74,157
org.jfree.chart.urls.CustomXYURLGenerator,58,58,141
org.jfree.chart.urls.StandardCategoryURLGenerator,58,54,136
org.jfree.chart.urls.StandardPieURLGenerator,47,46,109
org.jfree.chart.urls.StandardXYURLGenerator,47,46,100
org.jfree.chart.urls.StandardXYZURLGenerator,12,12,19
org.jfree.chart.urls.TimeSeriesURLGenerator,58,58,140
org.jfree.chart.util.AttrStringUtils,82,80,256
org.jfree.chart.util.DefaultShadowGenerator,91,85,241
