Complexity metrics,Wed., 19 Oct. 2022 19:19:32 EDT,
Class,OCavg,OCmax,WMC
org.jfree.chart.swing.editor.FontChooserPanel,2.5,6,15
org.jfree.chart.swing.editor.FontDisplayField,1.25,2,5
org.jfree.chart.swing.editor.LCBLayout,3.5,11,28
org.jfree.chart.swing.editor.PaintSample,1,1,5
org.jfree.chart.swing.editor.StrokeChooserPanel,1.33,2,4
org.jfree.chart.swing.editor.StrokeSample,1.33,2,8
org.jfree.chart.text.AttributedStringUtils,4.5,8,9
org.jfree.chart.text.G2TextMeasurer,1,1,2
org.jfree.chart.text.TextAnchor,1,1,8
org.jfree.chart.text.TextBlock,1.93,6,27
org.jfree.chart.text.TextBlockAnchor,n/a,n/a,0
org.jfree.chart.text.TextBox,1.88,11,47
org.jfree.chart.text.TextFragment,1.87,7,28
org.jfree.chart.text.TextLine,1.85,4,24
org.jfree.chart.text.TextUtils,3.3,9,76
org.jfree.chart.text.format.HMSNumberFormat,1,1,4
org.jfree.chart.text.format.HexNumberFormat,1.29,3,9
org.jfree.chart.text.format.LogFormat,1.82,8,20
org.jfree.chart.text.format.RelativeDateFormat,1.64,16,46
org.jfree.chart.title.CompositeTitle,1.38,5,18
org.jfree.chart.title.DateTitle,1,1,5
org.jfree.chart.title.ImageTitle,2.5,7,30
org.jfree.chart.title.ShortTextTitle,3.43,14,24
org.jfree.chart.title.TextTitle,2.75,13,99
org.jfree.chart.title.Title,1.64,8,36
org.jfree.chart.urls.CustomCategoryURLGenerator,2.75,10,22
org.jfree.chart.urls.CustomPieURLGenerator,2.5,8,20
org.jfree.chart.urls.CustomXYURLGenerator,2.75,10,22
org.jfree.chart.urls.StandardCategoryURLGenerator,2.29,6,16
org.jfree.chart.urls.StandardPieURLGenerator,2.17,6,13
org.jfree.chart.urls.StandardXYURLGenerator,2.2,6,11
org.jfree.chart.urls.StandardXYZURLGenerator,1,1,1
org.jfree.chart.urls.TimeSeriesURLGenerator,2.12,7,17
org.jfree.chart.util.AttrStringUtils,2,9,32
org.jfree.chart.util.DefaultShadowGenerator,2.15,9,28
org.jfree.chart.util.DirectionalGradientPaintTransformer,5,9,10
org.jfree.chart.util.ExportUtils,1.33,2,8
org.jfree.chart.util.GradientPaintTransformType,n/a,n/a,0
org.jfree.chart.util.PaintAlpha,3.38,10,27
org.jfree.chart.util.StandardGradientPaintTransformer,2.29,5,16
org.jfree.chart.util.StringUtils,1.5,2,6
org.jfree.data.ComparableObjectItem,1.62,5,13
org.jfree.data.ComparableObjectSeries,2.38,10,50
org.jfree.data.DataUtils,3.56,6,32
org.jfree.data.DefaultKeyedValue,1.62,4,13
org.jfree.data.DefaultKeyedValues,1.95,9,43
org.jfree.data.DefaultKeyedValues2D,2.43,13,56
org.jfree.data.DomainOrder,n/a,n/a,0
org.jfree.data.KeyToGroupMap,2.62,7,34
org.jfree.data.KeyedObject,1.71,5,12
org.jfree.data.KeyedObjects,2.31,9,37
org.jfree.data.KeyedObjects2D,2.55,12,56
org.jfree.data.KeyedValueComparator,4.5,15,18
org.jfree.data.KeyedValueComparatorType,n/a,n/a,0
org.jfree.data.KeyedValues2DItemKey,1.62,5,13
org.jfree.data.KeyedValuesItemKey,1.5,4,9
org.jfree.data.Range,2.17,6,50
org.jfree.data.RangeType,n/a,n/a,0
org.jfree.data.UnknownKeyException,1,1,1
org.jfree.data.category.CategoryToPieDataset,3.25,9,39
org.jfree.data.category.DefaultCategoryDataset,1.4,10,35
org.jfree.data.category.DefaultIntervalCategoryDataset,2.52,9,83
org.jfree.data.category.SlidingCategoryDataset,1.7,6,34
org.jfree.data.flow.DefaultFlowDataset,2.47,10,42
org.jfree.data.flow.FlowDatasetUtils,3.71,5,26
org.jfree.data.flow.FlowKey,1.75,7,14
org.jfree.data.flow.NodeKey,1.71,6,12
org.jfree.data.function.LineFunction2D,1.5,4,9
org.jfree.data.function.NormalDistributionFunction2D,1.67,4,10
org.jfree.data.function.PolynomialFunction2D,1.33,2,8
org.jfree.data.function.PowerFunction2D,1.5,4,9
org.jfree.data.gantt.SlidingGanttCategoryDataset,1.85,6,61
org.jfree.data.gantt.Task,1.38,7,22
org.jfree.data.gantt.TaskSeries,1.55,5,17
org.jfree.data.gantt.TaskSeriesCollection,1.68,4,64
org.jfree.data.gantt.XYTaskDataset,1.42,6,44
org.jfree.data.general.AbstractDataset,1.33,3,16
org.jfree.data.general.AbstractSeriesDataset,1.67,3,5
org.jfree.data.general.DatasetChangeEvent,1,1,2
org.jfree.data.general.DatasetUtils,5.5,30,319
org.jfree.data.general.DefaultHeatMapDataset,2.13,10,32
org.jfree.data.general.DefaultKeyedValueDataset,2,7,20
org.jfree.data.general.DefaultKeyedValues2DDataset,n/a,n/a,0
org.jfree.data.general.DefaultKeyedValuesDataset,n/a,n/a,0
org.jfree.data.general.DefaultPieDataset,1.53,9,29
org.jfree.data.general.DefaultValueDataset,1.43,3,10
org.jfree.data.general.HeatMapUtils,2.33,3,7
org.jfree.data.general.Series,1.58,4,19
org.jfree.data.general.SeriesChangeEvent,1,1,1
org.jfree.data.general.SeriesException,1,1,1
org.jfree.data.general.WaferMapDataset,1.53,4,29
org.jfree.data.io.CSV,2.67,4,16
org.jfree.data.json.JSONUtils,3.5,9,14
org.jfree.data.json.impl.JSONArray,2.6,5,13
org.jfree.data.json.impl.JSONObject,2,4,14
org.jfree.data.json.impl.JSONValue,10,13,40
org.jfree.data.resources.DataPackageResources,1,1,1
org.jfree.data.resources.DataPackageResources_de,1,1,1
org.jfree.data.resources.DataPackageResources_es,1,1,1
org.jfree.data.resources.DataPackageResources_fr,1,1,1
org.jfree.data.resources.DataPackageResources_pl,1,1,1
org.jfree.data.resources.DataPackageResources_ru,1,1,1
org.jfree.data.statistics.BoxAndWhiskerCalculator,4.75,10,19
org.jfree.data.statistics.BoxAndWhiskerItem,1.86,12,26
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,1.82,10,82
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,1.75,6,49
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,2.05,9,41
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,2.17,14,65
org.jfree.data.statistics.HistogramBin,1.44,4,13
org.jfree.data.statistics.HistogramDataset,1.95,8,43
org.jfree.data.statistics.HistogramType,n/a,n/a,0
