Metrics3913,Fri., 21 Oct. 2022 19:45:44 EDT
Class,CBO,CLOC,Jm,JTA,LCOM,LOC,NOC,RFC,WMC
org.jfree.chart.axis.SymbolAxis,20,227,100.00%,0,2,619,0,87,69
org.jfree.chart.axis.SymbolAxisTest,3,12,100.00%,0,3,56,0,14,3
org.jfree.chart.axis.Tick,15,57,100.00%,0,4,117,2,11,14
org.jfree.chart.axis.TickType,12,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.axis.TickUnit,15,68,100.00%,0,3,130,2,10,16
org.jfree.chart.axis.TickUnitSource,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.axis.TickUnits,5,69,100.00%,0,1,135,0,22,14
org.jfree.chart.axis.TickUnitsTest,4,12,100.00%,0,3,39,0,13,3
org.jfree.chart.axis.Timeline,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.axis.ValueAxis,137,717,100.00%,0,7,"1,462",4,163,163
org.jfree.chart.axis.ValueAxisTest,16,39,100.00%,0,4,158,0,55,4
org.jfree.chart.axis.ValueTick,15,46,100.00%,0,2,86,3,8,9
org.jfree.chart.block.AbstractBlock,30,291,92.11%,0,3,536,6,77,55
org.jfree.chart.block.AbstractBlockTest,5,12,100.00%,0,3,83,0,24,3
org.jfree.chart.block.Arrangement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.block.Block,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.block.BlockBorder,9,78,100.00%,0,1,166,0,31,19
org.jfree.chart.block.BlockBorderTest,4,14,100.00%,0,2,50,0,12,3
org.jfree.chart.block.BlockContainer,25,93,93.33%,0,1,207,1,48,26
org.jfree.chart.block.BlockContainerTest,6,12,100.00%,0,3,45,0,17,3
org.jfree.chart.block.BlockFrame,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.block.BlockParams,3,56,100.00%,0,3,85,0,7,7
org.jfree.chart.block.BlockResult,7,18,100.00%,0,1,31,0,3,3
org.jfree.chart.block.BorderArrangement,12,95,100.00%,0,1,469,0,40,71
org.jfree.chart.block.BorderArrangementTest,11,154,100.00%,0,3,668,0,27,6
org.jfree.chart.block.CenterArrangement,8,126,100.00%,0,3,260,0,33,31
org.jfree.chart.block.ColorBlock,8,68,100.00%,0,2,129,0,31,12
org.jfree.chart.block.ColorBlockTest,3,13,100.00%,0,1,64,0,17,3
org.jfree.chart.block.ColumnArrangement,12,115,100.00%,0,3,313,0,38,42
org.jfree.chart.block.ColumnArrangementTest,4,12,100.00%,0,2,59,0,9,3
org.jfree.chart.block.EmptyBlock,10,43,100.00%,0,2,71,0,16,5
org.jfree.chart.block.EmptyBlockTest,3,12,100.00%,0,3,49,0,13,3
org.jfree.chart.block.EntityBlockParams,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.EntityBlockResult,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.FlowArrangement,12,143,100.00%,0,3,368,0,40,46
org.jfree.chart.block.FlowArrangementTest,4,12,100.00%,0,2,59,0,9,3
org.jfree.chart.block.GridArrangement,8,131,100.00%,0,3,368,0,38,51
org.jfree.chart.block.GridArrangementTest,9,57,94.74%,0,4,228,0,41,19
org.jfree.chart.block.LabelBlock,19,169,100.00%,0,1,326,0,59,34
org.jfree.chart.block.LabelBlockTest,5,12,100.00%,0,1,75,0,17,3
org.jfree.chart.block.LengthConstraintType,14,6,0.00%,0,2,11,n/a,2,0
org.jfree.chart.block.LineBorder,6,61,100.00%,0,1,161,0,36,19
